,,Suaves colombianos (arábigo),,,Otros suaves (arábigo),,,Naturales del Brasil (arábigo),,,Robustas,,,
Mes,Precio del indicador compuesto OIC,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,
ago-15,"121,21","144,96","149,29","146,96","158,78","155,79","156,92","118,39","130,35","127,24","91,94","84,60","85,78",
sept-15,"113,14","133,04","138,51","135,55","147,65","145,22","146,15","109,65","120,73","117,83","87,98","80,26","81,50",
oct-15,"118,43","140,28","146,41","143,10","153,88","152,81","153,25","116,83","131,20","127,47","88,67","81,57","82,78",
nov-15,"115,03","137,49","139,46","138,63","148,94","147,10","147,98","110,70","127,11","122,95","88,63","80,39","81,74",
dic-15,"114,63","140,23","139,56","139,89","149,82","147,88","148,66","110,38","128,53","123,73","86,35","77,82","79,28",
ene-16,"110,91","134,98","135,71","135,27","146,38","144,34","145,14","106,53","126,53","121,30","81,83","73,17","74,63",
feb-16,"111,75","137,71","136,49","137,17","148,94","146,85","147,70","108,21","127,19","122,24","81,16","72,57","74,04",
mar-16,"117,83","145,18","145,05","145,20","156,94","157,68","157,50","116,14","135,16","130,38","83,19","73,97","75,60",
abr-16,"117,93","143,46","143,89","143,66","154,20","154,23","154,22","113,13","133,36","128,10","87,60","78,66","80,18",
may-16,"119,91","144,93","144,31","144,49","155,40","155,34","155,19","114,55","134,33","129,05","91,03","82,59","83,93",
jun-16,"128,00","158,70","157,07","158,09","166,87","166,14","166,56","124,01","144,91","139,56","93,12","85,13","86,52",
jul-16,"132,82","164,93","163,42","164,25","172,14","171,04","171,54","130,60","149,39","144,53","96,90","89,49","90,76",
ago-16,"131,00","161,36","160,11","160,78","170,34","165,60","167,54","128,84","145,83","141,41","96,68","90,79","91,79",
sept-16,"138,22","168,13","169,74","168,85","178,07","175,02","176,30","136,85","154,34","149,80","101,77","95,91","96,88",
oct-16,"142,68","171,13","173,63","172,28","178,62","179,19","178,96","139,08","158,10","153,15","107,53","102,85","103,65",
nov-16,"145,82","178,16","178,23","177,85","185,13","183,88","184,12","145,26","162,35","157,72","106,94","103,15","103,72",
dic-16,"131,70","158,31","156,79","156,64","162,56","162,54","161,78","127,01","141,21","137,14","103,59","101,37","101,85",
ene-17,"139,07","165,56","164,92","164,96","167,83","169,54","168,61","136,31","149,22","145,70","111,26","107,73","108,32",
feb-17,"137,68","164,33","162,84","163,67","165,56","166,85","166,35","139,33","147,62","145,50","110,13","105,74","106,49",
mar-17,"134,07","158,97","157,73","158,40","159,39","160,69","160,15","132,51","142,18","139,67","110,02","106,07","106,73",
abr-17,"130,39","155,79","153,69","154,97","155,90","154,76","155,40","130,84","137,66","136,09","106,25","102,84","103,58",
may-17,"125,40","153,49","148,96","151,41","151,18","149,23","150,00","126,40","132,93","131,21","101,47","97,72","98,36",
jun-17,"122,39","148,86","142,89","146,12","144,10","142,61","143,22","117,82","125,78","123,71","104,83","101,36","101,95",
jul-17,"127,26","155,36","149,45","152,51","151,69","148,42","149,66","124,71","130,85","129,19","107,62","104,38","104,94",
ago-17,"128,24","157,97","151,84","155,15","154,59","146,60","149,88","128,05","133,29","131,93","106,36","104,14","104,52",
sept-17,"124,47","153,51","149,24","151,44","149,65","144,51","146,54","125,80","131,14","129,70","101,38","98,76","99,21",
oct-17,"120,01","145,02","143,31","144,26","143,12","138,82","140,71","118,93","126,53","124,55","102,55","97,48","98,39",
nov-17,"117,26","145,63","142,30","144,09","144,24","138,37","140,90","119,03","126,16","124,28","95,11","90,54","91,33",
dic-17,"113,93","144,35","137,78","141,51","141,67","133,65","137,30","118,88","122,00","121,36","92,13","86,60","87,60",
ene-18,"115,60","147,35","139,51","143,77","144,15","134,70","138,81","123,39","123,82","123,67","93,03","87,70","88,65",
feb-18,"114,19","145,93","136,26","141,50","142,93","131,15","136,28","120,99","120,82","120,83","92,88","88,45","89,24",
mar-18,"112,99","143,10","134,98","139,45","140,20","130,96","135,03","118,38","120,30","119,80","92,08","87,32","88,18",
abr-18,"112,56","143,89","133,76","139,29","140,37","129,61","134,34","118,42","118,97","118,76","91,88","87,56","88,31",
may-18,"113,34","144,48","135,09","140,26","141,68","130,83","135,61","117,16","120,44","119,57","92,39","87,94","88,74",
jun-18,"110,44","142,45","133,79","138,55","139,83","129,48","134,03","109,60","117,03","115,10","89,38","85,34","86,07",
jul-18,"107,21","135,80","131,75","133,98","133,13","128,72","130,66","105,04","112,69","110,66","87,71","83,54","84,30",
ago-18,"102,72","132,40","127,56","130,22","128,89","122,96","125,57","98,33","107,14","104,85","84,02","80,34","81,01",
